id,prob_class1
eng_0d46cf5c8e1f037159cfd6c9dcde03bb,5.5622062e-05
eng_0676b42cc5e76f3a2b7cf3b562676fc1,0.03527755
eng_f3ce74f07a4cd9ee1926b87b40b78887,9.625642e-08
eng_9bb8d97251cc86cf5943c31be5f1b9a6,0.000720838
eng_755cacee0509beb4dc49f0fa1fd5d22f,0.00036829791
eng_9e29b6877b966ac9b226e9bd016fa592,0.9969957
eng_3aa28369c1da093e29ee4559f4a33cdf,0.0030753699
eng_349848e9dc4fced9790b7cc4d9c7fe75,2.8172629e-09
eng_e071c8bea882732757fe7032b4e04ca5,0.01507263
eng_a930dd0488308b34fe63829d521a2fba,0.06325053
eng_7e4f710ae205889db52e0e65e0b6e992,0.8610715
eng_65769bc701c5eadd12df9fc70047d747,1.5079722e-09
eng_9e536cd80ac57adc4c633de9fb4423c4,0.00012436225
eng_4b497af971fff7f9089721f71e1e9fc8,1.1726421e-06
eng_6707ed27d462651426f11f9e50869145,1.4166088e-09
eng_6c720c2d8d0be8c903a65e347510f3c5,5.2035716e-07
eng_4b226ccf9d1a918b9e06cad13d9a0fa6,1.5229979e-08
eng_0d7e45a87dbf373827664e476f468f54,0.0033766124
eng_286696181bcdc82a3398e28844e78c48,3.689885e-07
eng_f9b98354992f06cb68f756745167ee38,0.9999995
eng_7a94ccfd9cd6195c60ab69d0e5d02331,2.1112483e-05
eng_cf46f271cd1634089a9aab3e06fbbf95,2.2897349e-11
eng_595d34c901983a746c81b9d8331ff0d7,6.5602003e-12
eng_03320a27f3de9789d3de39beb08c45e7,1.0348531e-06
eng_ea73ac59bdd2ee2f8e8260a18c7cc97f,0.017209712
eng_02920e343f8b1ee72bd1b139137f9ece,0.992062
eng_0c624c1b5e10ad16a854cde4ebbb4931,2.9311537e-05
eng_f84c14e228867e59b250f1de37035303,0.030329255
eng_c653a418710f5991764e911dce915724,0.70578504
eng_124cae1be55c6c765052d78b628f9b55,4.363462e-09
eng_f7eaccaf1932a8996e0d0616f5e5e8e9,0.00020988309
eng_d9d7368e6cc9a0e623b40f5d2b4cdf26,5.896418e-07
eng_3bfdb4cc0d020e691c9d10f25fe19eec,0.009090384
eng_f162ca5f33d50731f710cb8dc471fe00,5.9551394e-06
eng_bd6940766b5e27c39bacd136af33a1c6,0.027769243
eng_ea2a52f43fb505d29831792c1c001299,0.99999905
eng_8d10cd5e62476b86406a96de439a6fa6,0.7090191
eng_c7d0060deb29dffaa12f966efc513c89,0.0064882697
eng_dbba44264e14195d15f8838e66c25f1c,6.4120606e-08
eng_a67673aaf5e7f1238a576c9f09716a14,6.4120606e-08
eng_43bf1dfc1d02274f5706a96d6e74d1b2,4.539787e-05
eng_4ed114421c5fee85387d256a8e32215b,6.615601e-08
eng_8be475fca3f2bf9576017fd9b5ee2b32,3.3265334e-08
eng_37cad289883ce890261842ab205fd4d4,0.9351099
eng_4c18a599301ef268bd934089e69b1a2b,8.2332484e-08
eng_e58c01926f1ad073617071c4fad45c37,2.8453348e-08
eng_3a736718031372bf61f0f5add1b9e9f6,0.22815649
eng_900dc5a24915ac1ed9da3d82e7cd70d4,0.001032231
eng_a69594720b78614db08c12a51b40226c,0.0012065897
eng_e34d9ab6bad83fc217f6552639d022f5,0.0025909794
eng_8f3d7cca1bd805da3ea328ad3f33de6e,9.625642e-08
eng_e4eb037d988492ddaf51d4cdbc028d6c,0.0017546144
eng_d4fa0b77bcda356536e6de3857431735,1.3846005e-05
eng_f0dfc21420632658a25168cb0a70ff15,0.49609384
eng_c07b8e662938dc222cb2e3dd1ee9b017,0.00011235327
eng_3d7054d240b54424f19e84b71e438a1d,0.00048029723
eng_deaab37d970bbb17e98b13dd795a87c4,4.2292125e-09
eng_f7ae1a2b7a0819016438171a3901123d,2.1477714e-08
eng_183866a4b0fbf8fd0dd82b6ec2029382,0.6872103
eng_e0fd20cd545e1b2d442ed0615ff38f72,0.00052747846
eng_7edc1b7e9f37df47d9936df1d3b5770b,5.26334e-09
eng_d68ec1bb0075c92cfa3bb2550178f8d7,1.2606946e-05
eng_9cbbccbd67ca382810f2b10fa1f3d674,2.0377483e-07
eng_d8879930b867ef298a06318d50bee9d0,2.0145691e-05
eng_698b4f10ff06a81b4567458e9824273c,2.0408185e-10
eng_7b7ecde743494125ff4f9a4a39fd7d83,3.156126e-07
eng_d54302dcdf14a8f9b006d919a13d655d,6.339211e-06
eng_ed9d6571b4c0da698d0cc48e58bac7d8,4.181187e-07
eng_4c013c888914a302f0ba6efc17fbcfec,1.0060393e-12
eng_4e7c42d3f10b2886f2633300dd1955c3,3.0894944e-06
eng_5f1d3650ae88c1bacfc093a35306ae50,3.3647407e-10
eng_259bb509a7d58ce744499915534eb843,1.5558403e-09
eng_8ca6fd0802bc5ac8a3aac919151eadc6,2.3090713e-07
eng_adc36ac158211338e66c142675a66eb8,8.7642476e-08
eng_c6c7d62ac3b41bac6929b769b6c14ee0,1.5079722e-09
eng_9d13ebe1eeca16f9fc6b84b13aeefef5,3.156126e-07
eng_08e9124cf5b13335eb9d246bcb374ab2,1.414476e-06
eng_9488c2f2a5224b1c4e9a02a7952f48f1,4.5921354e-07
eng_4b576af45be4059c1aff71b566e1cc9b,0.00012339458
eng_d3fad60f5dbebd94fd771be13c119a7e,9.422446e-07
eng_e55898e1bf4ebde8783ba11fc92317b4,8.3152804e-07
eng_f119f93aa5baee7a936915c1a3014cee,4.936989e-06
eng_5ddc65afb00938e9c3940689cf5061db,4.2355837e-12
eng_01c383d2a18da413a3cba1b201917341,0.0075187185
eng_886298b0f809d944513405f0a2a9c798,0.37662312
eng_0a1ba5fbe736f5bcdc98826d15f21357,0.13939638
eng_3dc21d8bd629c72e6f064e1f64c61463,0.007651032
eng_d757e5fa7d15c128fedfbdb49bc68663,6.144174e-06
eng_651fa5b32a4299914e052eb378412740,8.677781e-09
eng_0844a94e43c68b1ab504f41e58bffedf,4.2228335e-06
eng_34e2dc0ddce33d03d9d2623e1553f810,0.5428633
eng_b322bfb58376729daf0d9c5256dfa4c0,0.99856746
eng_9e52ccc7fc01e89c12882c3ead53468b,0.004681822
eng_6a96ef1b5a38779507d6e452803bee7c,9.625642e-08
eng_55e68a9d7f69a733edbd63f45fc27ecc,0.00014883847
eng_de090dfa208d4c239e47a4c7db238f94,2.4579936e-07
eng_219b2c5f49f697b7d3dae5135e4270c6,7.042271e-08
eng_658eceea74d719b904968a4dc1ce0f3c,0.00036829791
eng_15d7cbbcbd68e877cf0fc4f5ff97b8e2,7.734421e-08
eng_930f32b284c0184092ddbe85f2b7caec,0.000115919334
eng_bd3b66d94d9d513f4924411e6377ae9b,4.539787e-05
eng_69658eec15eb67c3638ef8ea3325979d,0.0012668908
eng_0b7e2b061aa5fa5919a5e14d60f80ffa,6.9622565e-06
eng_957ca6f9f2cd5514e23b2ede6da5f6d5,0.00057254656
eng_aa5c41892c27fc270ab6c890c6772fe5,0.74316794
eng_c89e98d40fe1c5e5480d86bcc0251cdc,0.0007702932
eng_a80c9ee008a17d356c48518e6fcd06c6,4.264747e-05
eng_667f2093edb71c9f05db1157b0c250ed,0.677474
eng_7cfa3ce08a3b3f5987280db73a6296ea,1.0709233e-12
eng_6edb561f97a5100faa04f95d0862cf0a,8.61465e-05
eng_63c31b67c6f3360a9f9cad2636a9892c,3.9669862e-06
eng_0a117b1ce245e647f5c31124d89faeb9,3.059022e-07
eng_502150bdfe852c19661fbd8635f033e4,1.2219075e-05
eng_e57c3bad840d99750f169f6e7b6c8f2f,4.0990935e-09
eng_2225fd478e4d0bed9e0d99b6faa3f6a4,0.00011959858
eng_bee74982c7591db1b1d20ec4f58d182e,2.6465736e-09
eng_5eb1a5ca2bb8d37f38c240efb2ad64d8,5.315785e-08
eng_49ff2e03f5b9bd18a888502009e6efb3,7.9012095e-09
eng_89a2a1217d5df8b6bbf92f51ae046cc6,7.7221914e-05
eng_e5c89fc962bdb6fb86aeb88b5ce9038b,4.5921354e-07
eng_e8644fa4a0aa6452bdf3313a201d883f,4.895669e-10
eng_b7d543baaea35a3b3b37bd46cc30e49d,7.889263e-06
eng_6dabdcbb26d6838ee2073492180cff55,0.01883313
eng_3e9f871867ad723f3222b4cf3bb696cd,3.732267e-09
eng_c84ecb05b7f71932625cdf000e665814,3.7694562e-08
eng_ff8f590952ae90564e889613946b6a70,3.3931449e-06
eng_5be69d6f2b81f4ebfbf3854c9e8ae869,4.495181e-06
eng_f4300144388402251eabd50d9cc379d7,0.0029349516
eng_2d3f382cdd1ae234f61cfc38e7d6e746,8.8515696e-07
eng_aa0342517c6b782e0bcbe17f2254a8db,2.8130173e-06
eng_ab6395d92ac54cd3db94f1fde89f9a0b,9.915273e-05
eng_fbe65107527d3a799b03702c7e30b12f,0.908618
eng_8422bbf10f7b1f806d97adf34d7593e4,0.2635994
eng_15435a1becf1724d2311100561d630d3,1.6187581e-05
eng_a948bd72d25c7994b6959accec232699,0.0040072887
eng_22eda768ad17c8d8d752432fe595214f,5.422219e-06
eng_87bb951828aa21eab81a4b8c50c39a61,0.00081673806
eng_0453b022c5bcd4433eb8dbea38c2f601,6.3488e-09
eng_4822bc39044a6b2622c7d6cf7998ae56,0.099820666
eng_a76a8d824cc6011c76276b274010e138,3.927862e-07
eng_856ed88e29949e8ffb0450a5016499b3,0.00027372167
eng_9467fbc60eb6e01354000b5496091805,0.99999964
eng_70c8c521473c766d8bc9718315779f36,5.1442214e-05
eng_f6d55803fc01f112332227b572cac894,3.432129e-08
eng_b7352193b5b6a8f7985b3346725773d7,2.5651472e-09
eng_525b4aa6987409f8852132ca527fd9df,0.020215968
