id,prob_class1
hau_f314201d82f09c4f135320eaf214c09e,0.99941623
hau_15a4bf3fc7df54fa11688401df70e62b,0.0021405893
hau_976288a3639b764171f6dfe52823ebc0,0.004801641
hau_e0c6bf7794b2574af9e361acf41cc8cb,0.025982061
hau_dc3e0474926a7f44b72cbc2f402ec46c,0.003692853
hau_604ae5fa56fc082270f2f507c7f5d9f4,0.003045574
hau_761263f1244d23a0ffb0a03f72a33d06,0.038683496
hau_662636b4fece9f4d14a6bcb8ed382d19,0.003907215
hau_8b9cc28b0a40da492d32b6a278acec27,0.002895214
hau_aa54a5a083a10633307e05f3a0fe6507,0.0024871177
hau_35f50bd2911004dae96cb3490b865f19,0.0038769261
hau_6a0d9951e8155331a93dc38be10d999d,0.0031542056
hau_d7286a81dea58f7570c2721ae3d7896b,0.0062170783
hau_2279ad4b39165996d94cb970b9a44032,0.0026991665
hau_4a91dadacb815602c0bf41f9002acb16,0.98387814
hau_7ea0712393fed5994706e9788daf1fae,0.0076956474
hau_235f8eb9fab5c4fbce90e51bc6a93918,0.0028504555
hau_c4a1cca81425b1320c502982a691cb0d,0.0043823365
hau_644dc31e1a57a83451fc0fb4680a78ee,0.0038393948
hau_8f336a3105a50c310dc79e8fbc07a746,0.0023141266
hau_c6f1c45e17ca2a3e4d8120e9e10a9637,0.004442395
hau_8c5f5dd672f2c86efcad32b307f745cf,0.0027683857
hau_8ddca71100a9068aecd8959f99d15cc9,0.00588816
hau_2faa6d598b5c3a0e3460d1eece8505e9,0.0028338498
hau_672a88e3e8eb9c5cb1039686b2361495,0.008364238
hau_0241085ae5c4434390ca28bcc11a4e8a,0.011050795
hau_6e36fe8f3d4513935d7ca9c2bcb45d03,0.003787458
hau_229166bb2676daadd1dc52b84bb694cf,0.0023276936
hau_afb43a5947da291694cd9160b7850405,0.003678509
hau_55d2c74c7d9bc7843a2b487e0471f7c2,0.004886375
hau_1bd6bfbdd4d8a30befb04d332dbfe8b5,0.009727271
hau_135006ad32acd3a9b66eec582d6ea4b8,0.99140584
hau_4c155ab0281ea6ebdfbe88b9c3b9f64c,0.0025509126
hau_072b6010ada47af771157e3af4ada2c2,0.005763727
hau_b50bdac644cce79af46a89999c20bedb,0.0024296434
hau_77f40050950c2ed64ab1e6d82a9fd66e,0.9992693
hau_cc72102b5a6792464ac0de78126cd7d7,0.008015269
hau_1d6f16f099e83fc10d67973f6c21a5d6,0.003105456
hau_b3096da9c90b06afe5df1fbfca26e2ae,0.0039300853
hau_baff25de35930a05b64a3001673b32ba,0.0022213378
hau_1da3a3204e9806833c94855d7a8d7bb6,0.9989077
hau_802a01334bc2e4b86499e60e151812b0,0.004015092
hau_6c8aa0a328e53d23eddaf3e2f5c5119b,0.0043230867
hau_83925c21fceba739963dc77f36f3878f,0.0067843576
hau_051074c829bffb4640e442b8eff76b2c,0.03608394
hau_e777fcb7afbdeae436df92ffc25af5f4,0.0029984983
hau_2d8de66e9b162c878a4cc77f76983e5b,0.022564495
hau_13d97cfaff43daa6aed0140785873fa2,0.99324185
hau_66743d3c9102e28339ca65e21f72aa5c,0.0022083889
hau_60055b990b7f556bf90bff9e65f56212,0.0028449094
hau_1290af82117194c958a6fefc3869012e,0.0023141266
hau_462063ef01c056df737d52a7f791a6c2,0.002458213
hau_9ee2443c5d87fe530ad0eb105b877feb,0.0045916834
hau_8537dcd97cbedd75d6eeec7a25bc052e,0.0041259355
hau_473a7b9b934cc463327479d6301947fe,0.0036358088
hau_e932a78f9f746a134991c0caa98052d1,0.0074317735
hau_baa144da271208b6141960d4351b0155,0.0028671583
hau_0b8f2ab53890bdb246a508f4323b01aa,0.0061570317
hau_82a26be5d58e9b26b07d41f72eb8a16d,0.00231864
hau_6b54f8092eca2ecfb5037bc09e407d74,0.006363574
hau_c961e6a2a52b2ce07fb1753adafa5bf6,0.007039046
hau_d7f4c966490f1d43d8744c9fded0ffff,0.0054374957
hau_2da4ccd2ab5058cd9bae5018b0a20aa7,0.0030160663
hau_aefe970940f2440869a4bab94b13f901,0.0037362208
hau_8516e11225c0692be29fa1296948e0e1,0.0025459477
hau_de2156ec09bc2c37b0e7d027f5b6dd75,0.005384938
hau_5e1c9123dc447a4d2d605ea2181fd78b,0.009232215
hau_03184985e870096a5f66a1053e5aadec,0.0029752331
hau_e6889f5df87bf4cc72f46341f0a0a5d7,0.008881674
hau_8786bbdf452c41b7588635b64b928c80,0.0036856742
hau_b0cd44ac7bad48f3ab7926527839150f,0.0058653387
hau_03366eab281b8c553e7e69eabe4e0219,0.0024486529
hau_caffb19addfdfb709b10cef2158ba081,0.003292236
hau_e3d7d63c9ebbfd1146d75f285b24829a,0.9988927
hau_57d88c0f45d45407a185420cc2af0e59,0.005281334
hau_f2c246eb56ba887d209ad168dc254d51,0.0027522563
hau_49d78498e14a6d08c9fb63d751530fdd,0.003869391
hau_ca0228e4aeb4140ee57f47598724ad33,0.0029349516
hau_d549dd0e58a0eb40acaa68991cbeab9c,0.0029065125
hau_c6764af0fdacd4ca3227f5b6b83e1158,0.05165378
hau_06209651ed41847c1660b5576778ef49,0.004564981
hau_632f3e2eaeb3b90ab98fe9e833f982b1,0.0023231625
hau_49e69e78642165f52adda12243b0de38,0.012288597
hau_79266f17d6987653337e09f4b63362e3,0.0025065753
hau_d42d7858fd070950104607caff4a9f08,0.0067580864
hau_a665afb2464876b3bf2714ed27a5a803,0.0031850608
hau_8ffebbc37b791b64bfbca9c79d303fab,0.002631674
hau_5098c2f7434a3e7bd4b3f4efc0e92da9,0.0070254076
hau_06ece52e1d9d759c1d67ce1b41de6822,0.0061094104
hau_58ff75b8958fc4e92639221032c4f9e6,0.005149607
hau_717c289e2537eac60b87a7a2191e3f09,0.9911011
hau_f013bd10017c46ba1a351b64dd620cbd,0.0026574312
hau_36073887f11c34919a5113ae11ac248b,0.0025909794
hau_a1716f9adac23a3014069580f374188b,0.0024154834
hau_9ed004b2c809103cf1ff0309056406a9,0.0028504555
hau_d9ffd340e16b31e8dc80daee25337da3,0.99453074
hau_f6f77c1033d1f35704fd9fb8a8fa9521,0.0042151595
hau_81e934c6494c85240b394e05c3d7c55c,0.007651032
hau_daf8432693994b147cfdc9a9b9f3207d,0.005050508
hau_058dc34f588dd82ee041cc58a9e58097,0.9927672
hau_cf03524d256cde01fed6f2195642945b,0.0026782178
hau_32c2dab226675949ddfb635233156710,0.0022562398
hau_e21780941225856224669469c8bb6888,0.0036499873
hau_60e74460e8a33c1655a6f1385d1ee12b,0.006576998
hau_14cfaac10e91e6e62a7f27e6968cdb29,0.0062170783
hau_9014449b63ee373227761a512dd3866a,0.0039685
hau_d8922bc0a0f7470b6a8faf03592bc839,0.0037434977
hau_675f7d0f415e3831e6888da7525066cf,0.0035174885
hau_aa80da3747d63d157d2a80472f161a90,0.002688672
hau_a9efcee8a2916a457d73b23257861a34,0.002396731
hau_93592b6e4f5a2df99d2c2cf8c37f8f74,0.0031850608
hau_c90875265801df76f7dd39d531ac77d1,0.99920374
hau_fdcb2f637b9d3d9b132a927c44e9890f,0.0024678102
hau_90370e8ffce7b0c74ebf3bcdceaabf52,0.008511303
hau_56676a827383dfd3f29075e111685b9b,0.0047183693
hau_134e5db0787538ff4bf766d376ee2935,0.0023459073
hau_e0ce84e22d0ef5d9ea78b924b71222da,0.002536047
hau_bdaa880a4e0877c1126de0864b0e536e,0.0023096215
hau_e460dc990916f09884f43c8d524bd2d8,0.0094490815
hau_a22504f47038c684eb94ded097eddeb4,0.0023827618
hau_3bf0d2f771e8bd128dd6051673b7ef3f,0.004264634
hau_9a2cdf6f1d93bc8231d5154a36185836,0.010248601
hau_b97ab46a68ffd05787e7890dbb2cf656,0.007710576
hau_c9d077c867bbd91cd1ee9e41cda0d607,0.024237636
hau_956f8e15ed9d8b85785a2e89309e090f,0.011375601
hau_7f176b10107a2b7eb82d2a4c503921e8,0.031202815
hau_de9e665300710fc09e5a5d7f2c89fe23,0.006917242
hau_bcd590f4359e615ed17e9baa3e47a763,0.007710576
hau_4d2b90116d3efaad129cfae6c4758b50,0.0076956474
hau_bc2aa56572294f36ce5e4ca8709b0e8c,0.0063266307
hau_ae8dab91c01a706b591667c89c3ae79e,0.0023096215
hau_196cd911ce672d3e419ff8bf59fd1894,0.008881674
hau_3df6973a011effb805b5870466453ff2,0.9996207
hau_46fb809c6ac0eb5d023d1e87f7635075,0.0033831915
hau_82fe4210af2f9ce8cd89da27e5207008,0.0023550675
hau_8fc6465badd6d3dfed3c544404c9ae61,0.0028783479
hau_1e5f4db59a1e741c8cfa6bd8fb31d087,0.0028338498
hau_d6d351c0ea3e2b980d909e18be27334b,0.0026991665
hau_47d2aeb4062b6b0df150ad056357e863,0.0022872274
hau_e90dd0169f2cf20550d6fd3f53790af4,0.0021364216
hau_7c5dd2957a3f1d5ab2e920416c75c706,0.9775858
hau_ce362db1e20f54b8800fb004569b1a21,0.9955142
hau_2f457df1ff517f21a2cf16eab763ad7a,0.0064506084
hau_4dcfec0f3933c402c38c56a3236af281,0.0047000605
hau_c343957b8a9ce39b0a022adb7f9dc367,0.0027044294
hau_1e1a8d5124f17eb8208657fde3a242cd,0.0029636684
hau_e1ddf1b70eebe4812dce2cbd4a6d750e,0.0023781238
hau_66dddcc119fa5c2c466ca776f6c11448,0.018264279
hau_b7bac1cbba7242a19492ae599482f826,0.99731654
hau_f61f9883f859cf5f4227f541a93b55c6,0.0025809042
hau_f7258a95f598cf715ab44c9adc9dd88b,0.005663865
hau_09df02ab31f0b876f2114d202e9e20db,0.002387409
hau_46f349ac08e43dd0291034a1fc35b6c1,0.002883959
hau_473d88ad6181e8dc9dc710f3040dc094,0.005060332
hau_2f4fc884a37bbf7734d962359086ddec,0.0037727477
hau_2de80950520b7e927655931dd2dd00bd,0.005576545
hau_98733d401878e9f94f182bdfef55e6e6,0.00286158
hau_a366ec3a274cf8b52eb890665e867026,0.0070938617
hau_6bd821c7f8edd6e789f154b7283f94dc,0.0067712096
hau_485f08559ec6f48e382d6fa575a96cad,0.002458213
hau_5e86dd5d76af0c74e92935f192f30532,0.003678509
hau_c9d2e903c8e4ad4ad06b49505e892ae5,0.988514
hau_0c26bc467a1726e483c16fb1e803989c,0.0027737827
hau_0bf97a13a7a2967ad9bc10664703a043,0.0022170132
hau_2a54d7f7926b331341245552a7fc3388,0.04831607
hau_c3278c055657359887cf21eebfad5224,0.0025459477
hau_587a08cf582ab1dbbe498b5cb9a3d7be,0.0033179715
hau_7a8c684e5c0dbac64e8539d64a402428,0.0025809042
hau_410f81624632bc618c3d5c8862d08083,0.007891985
hau_2050534feb6723acb8e1c12ac588f4b1,0.0022430879
hau_62d5b098310e2c84d0011dd71ff966b5,0.010032952
hau_8611743c7ff53bc1213a46a414bea905,0.0043994132
hau_6da000529fd44c037fdc6c8a9c02ce04,0.99701905
hau_222cab019cf97facc0b5aaeea7d5a6c7,0.0024774452
hau_fcf75b1ba8725b770f6a8c927864ad8e,0.002199798
hau_88c841a7cb09c2eebde45e8517c52cb4,0.0049725967
hau_056d9faf7d63ef583aaf372226cef98c,0.002889581
hau_1b60d2607e03c8d926a536aa421c3666,0.0026782178
hau_5868f9de8bf54583a60aafeb3c84869d,0.002238721
hau_f321a5b4ccba5198822a7bcafdd41ffa,0.0026782178
hau_438510afc3ac4f435121e8f8449434a6,0.0029521482
hau_d75c5bbe4f75894b179d857643a98eca,0.005030917
hau_011ed658a00fa510da8473f3b962e89c,0.0023231625
hau_25cfc3ff6ff0136dd78e970aae7ad06e,0.002688672
hau_bf1d66726c2fcf290baf1455f2738a6d,0.9971384
hau_d50da4a1ff7f41e47f4fd3ce90364dd6,0.27610457
hau_0f54824ebf547cc2452bd4a43b27759b,0.003004343
hau_9e2c7410d241b8c48bcd39960770d857,0.008445628
hau_9f10cab52c59e34237bb2f9c4c04acd3,0.0021615503
hau_3f15a83c457f1f2958ed0e3eb8786e3c,0.21958843
hau_9711cca49da43c09e70196430ad945eb,0.0047552
hau_17e50581a3e59b637f0c7f817f1ec159,0.0026626128
hau_c39d0385418ca8713cd3d26b1cc3505a,0.0022562398
hau_9a8858b5386d7a26d9dd0c57762e5814,0.019308086
hau_14b1b96d87f852e29b7019fe39320f21,0.0034698907
hau_628783564078df16ae0e12b7f6e25241,0.003678509
hau_eeed738aa2a954fda6db382c87288606,0.0023781238
hau_c08039d14a22b42dfa61c1e423b04f39,0.9986462
hau_c51475478900472be0abaa2394c6cc03,0.0025909794
hau_e498bab65bd7719751292a486e6d544a,0.81895405
hau_ba3a3ce68d8eeb765dc61133613fff5f,0.0030160663
hau_a31b5217166fe308cde6b3a3506389f0,0.011597362
hau_d2eb4c06df3f2b0c34f1aedcb3652c72,0.98657167
hau_3726f08cc1b901f617c0905f3dd580d3,0.997537
hau_ab42bb86fa571d284ac2d96aaa2848ed,0.49612436
hau_ed0434b736402a06c4c1358962e0da4b,0.01189205
hau_95a441040517f234f69f1774f22d2896,0.005149607
hau_644572a307f3a5ffd5ea4f875692106c,0.9955662
hau_3b922fc0072222af24010c1571d6edce,0.003976228
hau_3a1c714c7b961d89ba2a59f029c67b2b,0.0028727478
hau_0577ec278e53020e4fb9707885ce2a56,0.0023688741
hau_bd4ac04e21b16d4e28e0cff7a8d42204,0.003292236
hau_02bb3d48d9667a5f4c3f24f3c20c7212,0.0030813639
hau_ebed043a2786fa760b56d7511e58fab7,0.0027469008
hau_7c042287b47ce966091643cec2860569,0.0061570317
hau_024be1243252e92e72b131a435d771d7,0.99960023
hau_4c9eb667a4c2ed4a6cc653c0a68adb3f,0.0127472645
hau_6598f1237bd550591615a7474b43406d,0.9905691
hau_35ec6c6aaf5516e94512f312f5656a97,0.0022916892
hau_5ae2b6078cb887e5e0380ec43ab43019,0.99867755
hau_7aa66b21a06abe6362efff80e9dbf849,0.005663865
hau_f4741790a7f1cd0eb216be44c7e95f7a,0.0042151595
hau_7bd0cb412ec7120605c141c23f66f484,0.9913223
hau_a2cbb543b624f48b68444ca654f0a88c,0.003999501
hau_73bf0bb8b442edfbcd187e9bef9d750d,0.0025261848
hau_215274d2d1de20ac05721b4a16d524a0,0.004348382
hau_13dec4369c83976c0fc0729f1e805171,0.00571913
hau_ca7df91ae7833f95acb61c798a8969b5,0.0034030052
hau_dc9de7e1dff2c1e0d06812912ce9e383,0.003292236
hau_571fbd14ff395379a35bc9f16ed3b3af,0.004331502
hau_b5d1e26db50c478ae748a9dca5eafe4c,0.007149102
hau_4745ff9f1ffbc1c279800061bda0aa22,0.0025163612
